id,old_id,duration,point_num,vel_change_mean,angle_change_mean,logcr_change_mean,max_ditance_x,max_ditance_y,endpts_num,vel_change_mean_x,vel_change_mean_y,intersection_num,vel_change_num,total_num_crossx,total_num_crossy,total_num_cross_ax,total_num_cross_ay,x_axis_intersections,y_axis_intersections,FRR,FAR,accuracy,FAR_class
70,90,2250,191,9.409657254915334,0.022022420901975707,0.04517323040555643,21547,14577,1,5.212835555555556,10.351539259259257,6,35,8,11,20,18,4,14,0.0,0.0,100.0,0
71,91,2765,184,6.248396647691426,0.016060208252574322,0.03101497447627768,16036,13492,4,5.2938866787221235,7.138075949367083,6,33,13,17,22,19,4,3,29.411764705882355,10.0,77.77777777777779,0
72,92,2406,204,4.699629346258589,0.022939869311523555,0.02925806230299474,24724,4337,3,6.777824882238848,4.728332871524892,10,36,21,15,28,24,2,5,0.0,0.0,100.0,0
73,93,1453,108,10.4829274862596,0.01992563840075141,0.04196494966392624,11816,12167,2,6.683506920547527,12.397273074864263,6,20,9,7,10,12,4,5,11.76470588235294,0.0,92.5925925925926,0
74,94,1625,154,2.7347135247715855,0.02931359477910114,0.03742689327176117,8490,7710,0,2.2214988034188035,4.1827172649572635,4,18,10,8,17,16,2,5,5.88235294117647,0.0,96.29629629629629,0
75,95,3453,224,3.2741866898106395,0.02057434208991546,0.028244115336837884,17376,7107,2,2.0943308556166937,4.093624223702416,5,32,11,16,26,24,10,3,0.0,0.0,100.0,0
76,96,3438,183,6.272956888388381,0.008107235750833384,0.024495791711976928,25965,14095,3,7.381997931613989,4.590393639713009,0,33,16,13,22,25,6,3,52.94117647058824,0.0,66.66666666666666,0
77,97,859,85,11.946512723103602,0.01623698677260452,0.06046395611694919,12560,12650,0,6.851165437847625,10.476573535118355,3,14,6,7,6,10,4,7,0.0,0.0,100.0,0
78,98,3588,256,5.735900338101164,0.012088440335488287,0.030722235687903904,21894,7589,8,7.123894153350673,3.7910782856435046,10,39,21,13,23,31,12,3,0.0,80.0,70.37037037037037,1
79,99,5072,369,4.786048212375693,0.014183777102549755,0.02544278120200567,25320,6385,6,6.052773177357172,3.2397040396074304,15,58,30,26,46,45,10,4,0.0,50.0,81.48148148148148,1
80,100,1781,170,6.217262341107201,0.022953339798931806,0.04679596504959284,13504,6626,0,3.959346808908852,7.729729864620374,7,29,12,16,17,18,2,2,0.0,0.0,100.0,0
81,101,2103,174,7.993135334791493,0.02238073195707503,0.04248388798262156,16334,14095,0,4.894407460241981,8.559831457705924,2,31,13,15,21,20,2,2,5.88235294117647,0.0,96.29629629629629,0
82,102,1442,124,11.152313449299431,0.019169397779986216,0.049570361603118916,14745,15179,1,10.930948528278627,12.339591616581906,2,23,10,13,16,15,4,3,0.0,0.0,100.0,0
83,103,2413,201,4.701965306038275,0.0240463230660346,0.03052879083599898,21894,10721,1,4.932510015195473,6.747911313717363,5,35,11,19,27,26,6,3,0.0,0.0,100.0,0
84,104,1472,136,7.332401233689015,0.024208527420321167,0.04108725055459441,11568,10240,1,4.27068765096618,11.17624471618357,5,26,14,13,18,17,10,4,0.0,0.0,100.0,0
85,105,2002,184,6.0216716567370865,0.023630402050121742,0.053173270934524834,9930,7830,1,4.344050394050393,7.521121656121655,10,33,8,14,23,19,4,81,0.0,10.0,96.29629629629629,0
86,106,761,75,17.275995498101558,0.01839681257027906,0.05361475972419715,13802,14577,1,21.817973426777638,13.928396846254921,4,14,6,6,7,7,8,5,17.647058823529413,0.0,88.88888888888889,0
87,107,2244,168,8.220066663659562,0.013209127763329673,0.03503634868888355,13802,10721,3,9.884194890077243,7.277232125173302,6,29,14,12,17,21,6,89,0.0,0.0,100.0,0
88,108,6410,285,2.8749852564007163,0.010180677280236616,0.019938085178799265,11468,11324,8,2.094330386548794,3.290178713815216,7,33,19,16,31,27,6,11,0.0,0.0,100.0,0
89,109,3535,270,9.569395098332501,0.01193439980632794,0.035772558475841584,20901,14576,2,7.705641049819274,9.641090680496617,11,49,23,21,24,23,6,56,0.0,0.0,100.0,0
90,110,2012,172,7.5508850899337325,0.02801294862721776,0.04690646337582384,10526,11806,0,4.9007444223547605,8.95526673293572,8,29,10,14,21,18,6,75,17.647058823529413,0.0,88.88888888888889,0
91,111,1092,108,9.342699907804409,0.022758126945724384,0.05350530789511566,14596,11565,0,7.728164428164428,11.655137362637362,4,20,6,8,10,9,4,23,0.0,0.0,100.0,0
92,113,1692,159,7.60487339584799,0.019296208402079563,0.043603831616115245,10177,13010,0,5.908932886787497,8.54662595219333,8,28,13,12,13,13,6,46,0.0,0.0,100.0,0
93,114,2383,181,6.37184836497834,0.016824897679949685,0.029998966765844744,18617,12167,2,8.15951881382012,8.574527439735158,5,32,15,15,23,22,4,4,0.0,0.0,100.0,0
94,115,1442,141,12.172318012714316,0.020646435473817833,0.04256197128092809,16681,16143,0,5.137817845584835,16.793185390661115,4,23,6,11,17,13,4,12,0.0,0.0,100.0,0
